BN,School_Year,Start_Date,Overall_Rating,Indicator_1.1,Indicator_1.2,Indicator_1.3,Indicator_1.4,Indicator_1.5,Indicator_1.6,Indicator_1.7,IndicatorOverall_1,Indicator_2.1,Indicator_2.2,Indicator_2.3,Indicator_2.4,Indicator_2.5,Indicator_2.6,Indicator_2.7,IndicatorOverall_2,Indicator_3.1,Indicator_3.2,Indicator_3.3,Indicator_3.4,Indicator_3.5,Indicator_3.6,Indicator_3.7,Indicator_3.8,IndicatorOverall_3,Indicator_4.1,Indicator_4.2,Indicator_4.3,Indicator_4.4,Indicator_4.5,Indicator_4.6,Indicator_4.7,IndicatorOverall_4,Indicator_5.1,Indicator_5.2,Indicator_5.3,Indicator_5.4,Indicator_5.5,Indicator_5.6,Indicator_5.7,IndicatorOverall_5
M140,,01/07/2014 12:00:00 AM,P,P,D,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X072,,01/07/2014 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K100,,01/07/2014 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q308,,01/07/2014 12:00:00 AM,P,P,D,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X175,,01/07/2014 12:00:00 AM,P,P,P,WD,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K312,,01/07/2014 12:00:00 AM,P,P,P,WD,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X335,,01/07/2014 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M299,,01/07/2014 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q239,,01/07/2014 12:00:00 AM,P,D,P,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K452,,01/07/2014 12:00:00 AM,WD,WD,P,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X046,,01/07/2014 12:00:00 AM,P,P,D,P,WD,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K154,,01/07/2014 12:00:00 AM,P,WD,P,WD,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X227,,01/08/2014 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,D,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K287,,01/13/2014 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X531,,01/13/2014 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K382,,01/13/2014 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
R051,,01/13/2014 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q196,,01/13/2014 12:00:00 AM,WD,WD,WD,WD,P,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M375,,01/13/2014 12:00:00 AM,P,WD,P,WD,P,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K231,,01/13/2014 12:00:00 AM,WD,WD,WD,WD,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q212,,01/14/2014 12:00:00 AM,P,WD,P,WD,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X103,,01/14/2014 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X324,,01/14/2014 12:00:00 AM,P,P,D,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K635,,01/14/2014 12:00:00 AM,P,P,P,WD,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M092,,01/14/2014 12:00:00 AM,P,D,D,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M529,,01/14/2014 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X123,,01/15/2014 12:00:00 AM,P,P,D,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K068,,01/15/2014 12:00:00 AM,P,WD,D,P,P,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M696,,01/15/2014 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X284,,01/15/2014 12:00:00 AM,P,P,D,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K005,,01/21/2014 12:00:00 AM,P,P,D,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M862,,01/21/2014 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q356,,01/21/2014 12:00:00 AM,D,P,D,P,D,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X301,,01/21/2014 12:00:00 AM,P,P,P,P,D,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K105,,01/22/2014 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q146,,01/22/2014 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X325,,01/22/2014 12:00:00 AM,P,P,D,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K121,,01/23/2014 12:00:00 AM,P,P,P,WD,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,WD,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X323,,01/23/2014 12:00:00 AM,P,P,D,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,WD,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q201,,01/23/2014 12:00:00 AM,WD,WD,P,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M325,,01/23/2014 12:00:00 AM,D,P,D,P,P,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K061,,01/23/2014 12:00:00 AM,P,D,D,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X229,,01/23/2014 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q580,,01/23/2014 12:00:00 AM,P,P,D,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q155,,01/27/2014 12:00:00 AM,P,P,P,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q121,,01/27/2014 12:00:00 AM,WD,WD,WD,WD,P,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q011,,01/28/2014 12:00:00 AM,P,P,P,WD,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,P,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K353,,01/29/2014 12:00:00 AM,D,P,D,P,P,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K282,,01/29/2014 12:00:00 AM,D,P,D,P,D,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,D,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M034,,01/29/2014 12:00:00 AM,P,P,D,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,D,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q158,,01/29/2014 12:00:00 AM,WD,WD,P,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K577,,01/29/2014 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,P,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K032,,01/29/2014 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K045,,01/29/2014 12:00:00 AM,P,D,D,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M036,,01/29/2014 12:00:00 AM,D,D,D,P,WD,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K008,,02/03/2014 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X536,,02/03/2014 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K025,,02/03/2014 12:00:00 AM,P,P,D,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X003,,02/04/2014 12:00:00 AM,P,P,D,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q229,,02/04/2014 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K002,,02/04/2014 12:00:00 AM,P,P,D,P,WD,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X282,,02/04/2014 12:00:00 AM,D,P,D,P,D,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K015,,02/05/2014 12:00:00 AM,P,P,P,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X521,,02/05/2014 12:00:00 AM,P,P,D,WD,WD,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X525,,02/06/2014 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K186,,02/06/2014 12:00:00 AM,WD,P,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q107,,02/06/2014 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,D,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K594,,02/06/2014 12:00:00 AM,P,WD,P,P,WD,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M199,,02/06/2014 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M328,,02/06/2014 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,D,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K643,,02/06/2014 12:00:00 AM,P,P,WD,WD,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q160,,02/06/2014 12:00:00 AM,P,P,D,P,P,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K048,,02/06/2014 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K177,,02/06/2014 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q585,,02/06/2014 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M012,,02/10/2014 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,P,WD,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q272,,02/10/2014 12:00:00 AM,P,P,D,WD,D,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K265,,02/10/2014 12:00:00 AM,P,WD,P,WD,P,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,P,P,No Data,No Data,No Data,No Data,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q175,,02/10/2014 12:00:00 AM,D,P,D,P,P,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,UD,D,No Data,No Data,No Data,No Data,No Data,No Data,D,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K053,,02/10/2014 12:00:00 AM,WD,WD,WD,WD,P,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,P,No Data,No Data,No Data,No Data,No Data,WD,WD,No Data,No Data,No Data,No Data,No Data,No Data,WD,No Data,No Data,No Data,No Data,No Data,No Data,No Data
