2014-15 School Quality Report Results for High Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
02M459,Manhattan International High School,High School,343,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,81%,78%,90%,77%,77%,87%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"April 1, 2015",1.87,2.26,76.7%,4.1%,0.6%,68.1%,18.4%,46.4%,29.4%,16.6%,41.1%,12.2%,2.8,90.5%,90.3%,29.9%,97.3%
02M460,Washington Irving High School,High School,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90%,83%,88%,70%,78%,85%,N/A,N/A,N/A,N/A,N/A,,2.16,2.04,17.2%,34.3%,15.2%,71.3%,6.1%,56.6%,3.0%,33.3%,56.6%,7.1%,3.0,100.0%,72.7%,72.6%,97.2%
02M475,Stuyvesant High School,High School,3296,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,84%,80%,87%,77%,70%,87%,Well Developed,Proficient,Proficient,Well Developed,Proficient,"April 23, 2015",4.01,4.17,0.1%,0.5%,0.0%,31.6%,1.9%,18.2%,73.4%,0.8%,2.6%,20.4%,2.9,91.2%,96.5%,7.6%,96.3%
02M489,High School of Economics and Finance,High School,796,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,86%,82%,83%,80%,68%,85%,Well Developed,Proficient,Proficient,Proficient,Proficient,"November 20-21, 2013",2.55,2.55,6.0%,14.3%,2.3%,66.8%,7.2%,52.3%,21.7%,22.9%,47.1%,7.2%,7.9,88.4%,88.7%,30.0%,95.9%
02M500,Unity Center for Urban Technologies,High School,284,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,86%,80%,88%,73%,85%,87%,Proficient,Developing,Proficient,Proficient,Proficient,"May 6, 2015",2.25,2.15,6.7%,23.9%,0.7%,77.1%,7.7%,60.9%,6.0%,27.5%,58.8%,4.9%,7.9,61.5%,86.4%,33.8%,96.1%
02M507,Urban Assembly Gateway School for Technology,High School,472,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,82%,93%,85%,89%,77%,95%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"March 20, 2014",2.49,2.40,2.1%,19.1%,0.6%,63.6%,8.5%,46.2%,7.8%,30.3%,53.8%,5.7%,4.0,37.5%,89.6%,33.3%,97.3%
02M519,Talent Unlimited High School,High School,506,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,93%,95%,84%,89%,75%,92%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"January 14 – 15, 2013",3.00,2.66,0.2%,8.7%,0.0%,45.9%,4.2%,31.2%,4.9%,33.4%,39.9%,20.4%,6.9,82.8%,93.4%,17.6%,97.8%
02M520,Murry Bergtraum High School for Business Careers,High School,971,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,N/A,N/A,Approaching Target,84%,71%,73%,56%,68%,75%,Developing,Developing,Developing,Proficient,Developing,"February 11, 2015",2.33,2.18,10.7%,20.3%,6.7%,71.1%,12.2%,53.6%,8.9%,46.1%,40.7%,3.0%,0.9,76.6%,72.9%,65.0%,97.0%
02M529,Jacqueline Kennedy Onassis High School,High School,676,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,83%,82%,79%,69%,74%,80%,Developing,Developing,Proficient,Proficient,Proficient,"November 19, 2014",2.29,2.16,5.9%,18.6%,2.4%,77.1%,9.3%,62.0%,4.0%,21.3%,70.1%,3.6%,11.0,74.4%,80.2%,55.0%,96.2%
02M531,Repertory Company High School for Theatre Arts,High School,246,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,92%,95%,90%,95%,73%,94%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"March 6, 2015",2.71,2.46,3.7%,12.6%,0.0%,62.4%,8.1%,45.9%,1.6%,37.4%,50.4%,8.5%,2.3,53.8%,92.8%,26.3%,97.8%
